ID,DATE,category1,category2,category3,category4,headline,text,,URL ,checked,,other URL
23,2/16/2005,peers,TRT-C,,LIB,Kyoto Protocol Comes Into Force,"The Kyoto Protocol on greenhouse gas emissions reduction comes into force after Russia ratifies it. Canada commits to reducing its greenhouse gas emissions by six per cent below their levels in 1990--to roughly 555 megatons--by 2020. In 2012, the most recent year for which Canada has reported its emissions, national emissions stood at 699 MT.",,http://en.wikipedia.org/wiki/Kyoto_Protocol,OK,,https://unfccc.int/kyoto_protocol/items/2830.php
24,3/30/2005,peers,ASMT,,LIB,Two-Thirds Earth's Systems Declining,"More than 1,000 leading international life and earth scientists assess the condition of 24 terrestrial and marine ecosystem that supply essential services to mankind, from fresh air to food and water. Their ‘Millennium Ecosystem Assessment’ reports that 15 of those (60 per cent) are in serious decline. Five more are stable but threatened. Only four have improved over the last half-century. Humans have transformed natural ecosystems faster and more comprehensively than ever before in human history in order to secure food, fresh water, fiber and fuel—with a wide and largely irreversible loss of other species.",,http://www.unep.org/maweb/en/index.aspx,OK,,http://www.unep.org/maweb/documents/document.356.aspx.pdf
25,6/15/2005,peers,ASMT,,LIB,David Suzuki Foundation,"Canada ranks 28th among 30 countries in eco-stewardship. Comparing Canada to other leading industrial-country members of the OECD (Organization for Economic Cooperation and Development), on 29 indicators ranging from conservation of nature to sustainable building, researchers based at Simon Fraser University in Burnaby, B.C., rank Canada in the bottom three of wealthy nations on environmental care.",,http://www.davidsuzuki.org/publications/downloads/2005/OECD-English2-FINAL.pdf,OK,,
26,7/15/2005,peers,ASMT,,LIB,UNEP (United Nations Environmental Programme),"Canada comes 43rd, among 234 countries and autonomous zones, in protecting its environmental resilience. Developed by the United Nations Environment Programme (UNEP) and the South Pacific Applied Geoscience Commission (SOPAC), the Environmental Vulnerability Index captured 50 indicators of a country’s vulnerability to environmental shock. A higher score indicates greater resilience; a lower one, greater vulnerability.",,http://www.sopac.org/sopac/evi/index.htm,OK,,
27,1/26/2006,peers,ASMT,,HC,Environmental Performance Index,"Canada's eco-stewardship ranks eighth among 133 countries. The Joint Research Centre of the European Commission joins the Yale Center for Environmental Law and Policy, and Columbia University Center for International Earth Science Information Network to inaugurate the Environmental Performance Index for the World Economic Forum. The index compares different countries' environmental performance across multiple weighted indicators.",,http://en.wikipedia.org/wiki/Environmental_Performance_Index#2010,OK,,
28,6/1/2007,peers,LAW-F,,HC,EU Starts Retiring Worst Toxic Chemicals,"The European Union’s “Registration, Evaluation, Authorisation and Restriction of Chemicals” (REACH) regulation takes effect. It obliges any company that imports or manufactures more than a metric tonne of a material to register it with a central database in Helsinki, along with information about its effects on human health and the environment. If the material is determined to pose serious and irreversible risk, it cannot be used without official authorization. Before receiving authorization, companies must look for a suitable, less-toxic substitute. Over time, manufacturers must replace extremely toxic compounds with more benign alternatives. A review by the World Bank forecasts that the system will take fifteen years to institute and cost governments and businesses as much as $6.5 billion—but will also save Europe’s health care system $60 billion over the same period.",,http://ec.europa.eu/enterprise/sectors/chemicals/reach/index_en.htm,OK,,"http://en.wikipedia.org/wiki/Registration,_Evaluation,_Authorisation_and_Restriction_of_Chemicals"
29,6/15/2007,peers,ASMT,,HC,Conference Board of Canada,"Canada's eco-stewardship ranks 14th among 17 countries. Poor scores on climate change, waste generation, and the overuse of water, pull down Canada's better marks for air quality and forest cover, giving us a 'D' overall in the Conference Board of Canada's comparison of environmental performance among 17 leading industrial nations.",,http://www.conferenceboard.ca/e-library/abstract.aspx?did=2047,OK,,
30,1/23/2008,peers,ASMT,,HC,Environmental Performance Index,"Canada falls to 12th place in the World Economic Forum's Environmental Performance Index. Developed by the Yale Center for Environmental Law and Policy, Columbia University Center for International Earth Science Information Network and the Joint Research Centre of the European Commission, the index compares the environmental performance of 149 countries across 25 indicators.",,http://en.wikipedia.org/wiki/Environmental_Performance_Index#2010,OK,,
31,6/15/2009,peers,ASMT,,HC,Conference Board of Canada,"Canada drops one place to 15th among 17 OECD countries ranked for environmental stewardship by the Conference Board of Canada. The assessment scores performance on 15 indicators across six dimensions of stewardship: air quality, waste, water quality and quantity, biodiversity and conservation, natural resources management, and climate change and energy efficiency. The Board ranks Canada near the bottom, awarding it a ‘C’ grade and singling out its poor performance on climate change, its heavy water use and the volumes of waste produced.",,http://www.conferenceboard.ca/e-library/abstract.aspx?did=3526,OK,,
32,7/1/2009,peers,ASMT,,HC,World Wildlife Fund/Allianz SE,"Canada is last among eight top industrial countries in climate stewardship. Consulting company Ecofys ranks the top eight industrialized countries and five major developing countries according to their climate policy for the conservation organization WWF and the global insurance firm Allianz SE. Canada comes last among the leading industrial nations. “Nowhere else on Earth do fewer people steward more resources, yet Canada now stands dead last amongst the G8 Nations in protecting our shared home from the threat of dangerous climate change,” says Keith Stewart, Director of WWF-Canada’s Climate Change Campaign.",,http://www.wwf.ca/newsroom/?4000,OK,,
33,1/28/2010,peers,ASMT,,HC,World Economic Forum,"Canada's eco-stewardship ranks 46th in world. The Yale/Columbia/European Commission Environmental Performance Index for the World Economic Forum, compares 163  countries' environmental performance across 25 indicators. ",,http://www.ciesin.org/documents/EPI_2010_report.pdf,OK,,
34,4/14/2010,peers,LTGN,,HC,Groups Take Canada to NAFTA Tribunal ,"Two environmental-law groups and three Canadian citizens ask the Montreal-based Commission on Environmental Cooperation, established under NAFTA, to investigate the allegation ""that the Government of Canada is in breach of its commitment… to effectively enforce … the Canadian Fisheries Act against the practice of leaking deleterious substances from oil sands tailings ponds.” The act prohibits the direct or indirect ""deposition of deleterious substances into waters frequented by fish,” their submission notes. Environmental Defence and US-based Natural Resources Defense Council cite studies showing that oil sands operations leak four billion litres (one billion gallons) of toxic fluids into the surface environment each year. “The Canadian government has neither prosecuted any company for documented surface water contamination,” the brief adds, “nor has it pursued regulation governing tailings pond leakage. It relies on the Government of Alberta to alert it to possible violations of the Fisheries Act, and Alberta in turn relies on industry self-reporting.” (Two years later, the government will amend the Fisheries Act to replace those general prohibitions with narrower ones.)",,http://environmentaldefence.ca/search/node/CECsubmissionTarSands.pdf,OK,,
35,6/15/2010,peers,ASMT,,HC,David Suzuki Foundation,"Canada is second-last in the OECD in eco-stewardship. Examining 28 indicators of effective environmental care reported by industrial-state members of the Organization for Economic Cooperation and Development, researchers at the School of Resource and Environmental Management, at Simon Fraser University, rank Canada 24th among 25 countries, just ahead of the United States.",,http://www.davidsuzuki.org/publications/downloads/2010/OECD_Report_Final.pdf,OK,,
36,6/2/2011,peers,VALU,,HC,Ecosystems Worth $6B to UK,"Britain's first-ever National Ecosystem Assessment calculates that wetlands, natural pollinators, and greenspace amenities contribute the equivalent of $6 billion CAD (£3.23 billion) a year in economic value to UK citizens.",,https://www.gov.uk/government/news/hidden-value-of-nature-revealed-in-groundbreaking-study,OK,,
37,6/22/2011,peers,LTGN,,HC,Canada Fights Ban of Toxic Asbestos,"Canada’s delegation to an international meeting held under the Rotterdam Convention on the control of toxic products blocks the listing of chrysotile asbestos, a powerful carcinogen, among products whose producers must warn purchasers of their dangers, and which importing countries may choose to ban for health reasons. It is the third time Canada, a major asbestos producer from mines in Quebec, has blocked asbestos’ listing. In 2012, Canada will abandon its opposition.
",,http://www.thestar.com/news/canada/2011/06/22/canada_blocks_asbestos_from_hazardous_chemicals_list_at_un_summit.html,OK,,
38,10/31/2011,peers,ENVT,,HC,World Population Hits 7 Billion,"U.N. Secretary-General Ban Ki-moon marks the day that estimated global population reaches seven billion people. “Today, we welcome baby seven billion,” Ban said told international media in New York. “In doing so we must recognize our moral and pragmatic obligation to do the right thing for him, or for her.” Ban observes that the world’s last population milestone--six billion people--passed just 13 years ago in 1998, and called on world leaders to meet the challenge of growing human populations by ensuring the supply of food and clean water, and guaranteeing equal access to human security and justice. ",,http://www.scientificamerican.com/article/human-population-reaches-seven-billion/,OK,,http://ngm.nationalgeographic.com/7-billion
39,12/11/2011,peers,TRT-C,,HC,Canada Withdraws From Kyoto,"Hours after returning from a United Nations climate conference, Environment Minister Peter Kent announces that Canada will withdraw from the Kyoto Protocol rather than pay $14 billion in penalties for failing to reduce its greenhouse gas emissions by six per cent from 1990 levels by 2012. In fact, Canada's emissions have risen 30 per cent, mainly from oilsands development. Russia and the United States have also withdrawn from the Protocol.",,http://www.cbc.ca/news/politics/canada-pulls-out-of-kyoto-protocol-1.999072,OK,,
40,1/25/2012,peers,ASMT,,HC,World Economic Forum,"Canada's eco-stewardship ranks 37th among 132 countries. Developed by the Yale Center for Environmental Law and Policy, and Columbia University Center for International Earth Science Information Network, in collaboration with the World Economic Forum and the Joint Research Centre of the European Commission, the index provides a way to compare different countries' environmental performance across multiple indicators.",,http://sedac.ciesin.columbia.edu/data/set/epi-environmental-performance-index-pilot-trend-2012,OK,,http://en.wikipedia.org/wiki/Environmental_Performance_Index#2006
41,9/7/2012,peers,TRT-C,,HC,Great Lakes Protection Renewed,"Canada and the United States renew the Great Lakes Water Quality Agreement, first signed in 1972. It is the second time the agreement has been renewed. This update addresses the effects of climate change on the Great Lakes for the first time, but also abandons the specific objectives of earlier versions.",,http://www.thestar.com/opinion/editorialopinion/2012/09/16/canadaus_great_lakes_water_quality_one_step_forward_two_steps_back.html,OK,,
42,9/14/2012,peers,LTGN,,HC,Canada Abandons Asbestos Defence,"Canada announces it will no longer block the listing under the Rotterdam Convention of Canadian-mined chrysotile asbestos, a powerful carcinogen, among products whose producers must warn purchasers of their dangers, and which importing countries may choose to ban for health reasons. ",,http://montreal.ctvnews.ca/canada-to-stop-defending-asbestos-striking-blow-to-once-mighty-industry-1.956518,,,
43,1/1/2013,peers,ASMT,,HC,Canada Trails in Government R&D Spending,"A comparison by the Organization for Economic Cooperation and Development (OECD) of its member countries' national, provincial and local government support for scientific research and development (spending as a percentage of GDP) ranks Canada in 18th place out of 23 countries. With science spending about 25 per cent below the OECD average, Canada falls below Hungary.",,http://science.gc.ca/26E8DF73-CA15-44D3-B3E7-D404BBD0398D/Government.pdf,OK,,
44,3/22/2013,peers,TRT-C,,HC,Canada Abandons Drought Convention,"Canada informs the United Nations that it is withdrawing from the international Convention to Combat Desertification. No announcement is made to the Canadian public, although media report the decision the following week. The government cites the Convention as ineffective and bureaucratic. Canada is the only signatory to withdraw from the Convention, and becomes the only UN member not a party to it. The world continues to lose about 12 million hectares of productive land to expanding deserts every year--roughly the equivalent of all the farmland in Ontario and Manitoba combined.",,http://news.nationalpost.com/2013/03/28/harper-government-quietly-pulls-out-of-un-anti-drought-convention-making-canada-first-and-only-country-to-do-so/,OK,,http://www.unccd.int/en/Pages/default.aspx
45,4/9/2013,peers,ASMT,,HC,Social Progress Index,"The non-profit Social Progress Imperative, directed by Harvard economist Michael Porter, ranked most of the world's countries for factors that encourage human well being. Overall, Canada scored very well: in seventh place, the best of any major industrial economy. On environmental care, however, Canada wasn't even in the top third, coming 51st among 132 countries.",,http://www.socialprogressimperative.org/publications,OK,,
46,6/15/2013,peers,ASMT,,HC,Conference Board of Canada,"Canada's eco-stewardship remains the second-poorest among advanced nations. Canadians generate more garbage per person than any other developed country. That, our world-leading energy consumption, and water withdrawals of twice the industrial country average, place Canada 15th out of 17 leading countries in The Conference Board of Canada’s ""How Canada Performs"" environmental ranking, earning us a 'C' grade.",,http://www.conferenceboard.ca/hcp/default.aspx,OK,,
47,10/10/2013,peers,TRT-C,,HC,Minamata Treaty to Control Mercury,"Canada becomes an early signatory of a new international treaty to control and reduced the emission of mercury to the environment. Mercury is a potent neurotoxin (the convention is named after Minamata, Japan, the site of an infamous contamination episode). The treaty calls on signatory nations to reduce air emissions of mercury in particular, but does not take effect until 50 nations have ratified it. Although Canada signed, it did not ratify the convention. Separately, Canadian scientists have identified rising mercury emissions as the number one pollution concern from expanding oil sands extraction. ",,http://envirolaw.com/canada-becomes-signatory-global-treaty-reduce-mercury-emissions/?utm_source=Mondaq&utm_medium=syndication&utm_campaign=inter-article-link,OK,,http://www.mercuryconvention.org/Convention/tabid/3426/Default.aspx
48,11/18/2013,peers,ASMT,,HC,Canada Dead Last on Environment Among Rich Countries ,"The Washington, DC-based Center for Global Development ranks Canada in last place among 20 wealthy nations scored for their stewardship of the environment. The report identifies as weaknesses Canada's high greenhouse gas emissions, low gas taxes, and ""poor compliance with reporting requirements"" under its international biodiversity commitments.",,http://www.cgdev.org/initiative/commitment-development-index/index,OK,,http://www.pressprogress.ca/en/post/part-downsizing-our-environmental-division-was-eliminated-and-all-expertise-has-long-left
49,1/25/2014,peers,ASMT,,HC,World Economic Forum,"Canada's eco-stewardship ranking recovers slightly to 24th place, according to the Yale/Columbia/European Commission Environmental Performance Index for the World Economic Forum. The 2014 index ranks 178 countries across a reduced number of 20 indicators.",,http://epi.yale.edu/epi,OK,,http://en.wikipedia.org/wiki/Environmental_Performance_Index#2006
50,3/28/2014,peers,TRT-C,,HC,Canada Steps Back From Pollution Conventions,"Documents released to the Broadbent Institute under an Access to Information request reveal that Canada closed the environment section of the Department of Foreign Affairs and International Trade (DFAIT) in 2011, and was no longer engaging diplomatic partners in maintaining or expanding seven international conventions to control the spread of pollution. The documents redact the names of the affected conventions, but independent research indicates they include the Montreal Protocol to protect the ozone layer, the Basil Convention on the movement of toxic wastes, International Convention for the Prevention of Pollution From Ships, and several others.",,http://thetyee.ca/Opinion/2014/03/19/Seven-Steps-Back-for-Canadas-Natural-Defence/,OK,,
51,3/24/2014,peers,ENVT,,HC,Exxon Valdez effects linger,"A quarter-century after the Exxon Valdez ran aground in Prince William Sound on the south Alaska coast, the area's wildlife have not completely recovered. Salmon and sea otters have returned to the area in pre-spill numbers, but crab, herring, orca and some seabird populations have not recovered. ",,http://www.salon.com/2014/03/26/confronting_my_exxon_valdez_horror_25_years_later_partner/,OK,,http://oceanservice.noaa.gov/podcast/mar14/mw122-exxonvaldez.html
52,3/25/2014,peers,LAW-F,,HC,US Expands Watch on Waterways,"Two U.S. agencies, the Environmental Protection Agency and the U.S. Army Corps of Engineers (responsible for most of the country's dykes and many water diversions) issue a joint draft rule to greatly expand federal jurisdiction over ""waters of the United States."" The new ruling declares that upland tributaries and wetlands that contribute to the health and stability of larger rives and lakes, also fall under federal oversight.",,http://www.mondaq.com/unitedstates/x/305094/Clean+Air+Pollution/Obama+Administration+Releases+Proposed+Rule+On+Waters+Of+The+United+States&email_access=on,OK,,
53,5/5/2014,peers,ASMT,,HC,Social Progress Index,"Canada pulls up, but still fails to break into the top one-third of countries in environmental stewardship. The non-profit Social Progress Imperative, directed by Harvard economist Michael Porter, ranked countries for a variety of factors that encourage human well-being. On the environment, Canada moves up four spots to 47th from 51st place among 132 countries. Overall, Canada holds its seventh place ranking, the best of any major industrial economy. ",,http://www.socialprogressimperative.org/data/spi,OK,,
54,7/29/2014,peers,LTGN,,HC,"Canada Resists ""Factual Record"" on Oil Sands","The Montreal-based Commission on Environmental Cooperation notifies Canada that it is recommending that an investigation prepare “a factual record” to “provide the public with a better understanding of Environment Canada’s [Fisheries Act] enforcement strategy and actions as they pertain to oil sands tailings ponds in northern Alberta.” Its notification responds to a four-year-old complaint by Environmental Defence, the US-based Natural Resources Defense Council, and three Canadian citizens. Media report that Canada is lobbying the Commission—made up of the federal Canadian Environment Minister, the head of the U.S. Environmental Protection Agency, and Mexico’s secretary of the environment--to dismiss the recommendation. Canada and Mexico previously voted to block a CEC recommendation that Canada be investigated for failing to enforce its Species At Risk Act.",,http://www.cec.org/Storage/138/18520_10-2-PP-Notification_en.pdf,,,
55,9/7/2014,peers,ASMT,,HC,World Falling Behind on GHG Cuts,"The world's major economies are falling further behind the reductions in greenhouse gas emissions that are needed to keep the planetary temperature within 2°C of its pre-industrial average, a leading research and accounting firm reports. The world’s governments have set a goal of capping warming at 2°C in the belief that anything more will trigger dangerous climate disruption. However, “the gap between what we are achieving and what we need to do is growing wider every year,"" said a spokesman for Pricewaterhouse Cooper, which compiled the study. ""Current pledges really put us on track for 3 degrees [of warming].” A more positive sign is that emerging economies including China, India and Mexico have reduced their economy’s carbon ‘intensity’ (how much carbon is emitted for every dollar of value produced) faster than the United States, Japan or the European Union.",,http://pwc.blogs.com/files/lcei-2014-embargoed-to-0001-cet-8-september-2014-final.pdf,OK,,
56,9/9/2014,peers,ASMT,,HC,We Lead In Forest Loss,"The degradation of 800,000 hectares of boreal forest for oil and gas exploitation in northern Alberta, increasingly large forest fires and old-growth logging elsewhere in Canada, make this country the world leader in degrading intact forest landscapes. According to the World Resources Institute, Greenpeace and other groups, the Amazon had the second-worst record of forest degradation, followed by Russian Siberia and the Congo River basin. ",,http://www.globalforestwatch.org,,,
57,9/7/1991,economy,ENVT,"$520,000,000",PC,Record Calgary Hail,"A thirty-minute supper-time hailstorm does $300 million in damage to vehicles and buildings, becoming Canada's second-costliest storm to date.",,http://www.cbc.ca/news/canada/calgary/calgary-hailstorm-sets-damage-record-1.925450,OK,,
58,7/2/1992,economy,ENVT,"$1,050,000,000",PC,Cod Fished to Near Extinction,"The federal government announces a moratorium in fishing for Atlantic cod in an effort to forestall collapsing numbers of the once-abundant species. The moratorium puts an end to a 400-year-old mainstay of Newfoundland's economy. It fails to halt the collapse in cod stocks, which by 2014 still have not recovered, 22 years later.",,http://www.heritage.nf.ca/society/moratorium_impacts.html,OK,http://publications.gc.ca/Collection-R/LoPBdP/BP/bp313-e.htm,
59,6/15/1996,economy,VALU,"$2,750,000,000",LIB,BC's Eco-value $2.75B,"Researchers calculate that British Columbia earns $2.75 billion a year (updated to 2014 dollars) from the non-lumber value of its forests and other natural landscapes. The value comes mainly from outdoor recreation, but also from wildlife viewing and recreational fishing and hunting.",,http://www.cbd.int/financial/values/canada-valuesettled.pdf,OK,,
